"playerId","skaterFullName","team_abbr","positionCode","shootsCatches","gamesPlayed","goals","assists","points","plusMinus","shots","shootingPct","faceoffWinPct","timeOnIcePerGame","toi_5v5_per_game","corsi_against","corsi_ahead","corsi_behind","corsi_close","corsi_for","corsi_relative","corsi_tied","corsi_total","corsi_percentage","fenwick_against","fenwick_ahead","fenwick_behind","fenwick_close","fenwick_for","fenwick_relative","fenwick_tied","fenwick_total","fenwick_percentage","zone_start_pct","shooting_pct_5v5","save_pct_5v5","evGoals","evPoints","gameWinningGoals","lastName","otGoals","penaltyMinutes","pointsPerGame","ppGoals","ppPoints","seasonId","shGoals","shPoints","teamAbbrevs","goals_per_game","assists_per_game","points_per_game","shots_per_game","corsi_plus_minus","fenwick_plus_minus"
8478043,"Sam Lafferty","BUF","C","R",60,4,3,7,-15,50,0.08,0.50641,592.5666,554.8,539,-78,29,-49,469,-0.043,-21,-70,0.465,387,-63,9,-46,318,-0.052,-15,-69,0.451,0.375,0.054,0.9,4,7,0,"Lafferty",0,28,0.11666,0,0,20242025,0,0,"BUF",0.0666666666666667,0.05,0.116666666666667,0.833333333333333,-70,-69
8480802,"Ryan McLeod","BUF","C","L",79,20,33,53,13,97,0.20618,0.52325,1009.6075,781.48,1011,-61,40,1,965,-0.011,-25,-46,0.488,741,-27,14,0,703,-0.006,-25,-38,0.486,0.444,0.119,0.899,17,45,2,"McLeod",0,16,0.67088,0,2,20242025,3,6,"BUF",0.253164556962025,0.417721518987342,0.670886075949367,1.22784810126582,-46,-38
8481522,"Peyton Krebs","BUF","C","L",81,10,18,28,1,80,0.125,0.49022,835.9135,747.27,934,-68,45,2,914,-0.003,3,-20,0.494,681,-54,-2,-13,634,-0.014,9,-47,0.482,0.401,0.106,0.912,8,26,0,"Krebs",0,60,0.34567,1,1,20242025,1,1,"BUF",0.123456790123457,0.222222222222222,0.345679012345679,0.987654320987654,-20,-47
8483468,"Jiri Kulich","BUF","C","L",62,15,9,24,-4,134,0.11194,0.45519,887.5645,748.9,779,13,71,23,856,0.029,-7,77,0.523,574,25,26,-10,603,0.02,-22,29,0.512,0.529,0.101,0.896,15,24,3,"Kulich",1,18,0.38709,0,0,20242025,0,0,"BUF",0.241935483870968,0.145161290322581,0.387096774193548,2.16129032258065,77,29
8483500,"Noah Ostlund","BUF","C","L",8,0,0,0,-6,4,0,0.36363,632.5,590,69,0,11,6,85,0.048,5,16,0.551,55,-5,5,-3,55,-0.003,0,0,0.5,0.515,0,0.823,0,0,0,"Ostlund",0,2,0,0,0,20242025,0,0,"BUF",0,0,0,0.5,16,0
8480807,"Mattias Samuelsson","BUF","D","L",62,4,10,14,3,52,0.07692,NA,1158.2096,952.69,978,-64,-53,-44,867,-0.032,6,-111,0.469,718,-26,-53,-24,641,-0.03,2,-77,0.471,0.378,0.102,0.899,4,13,1,"Samuelsson",0,22,0.2258,0,1,20242025,0,0,"BUF",0.0645161290322581,0.161290322580645,0.225806451612903,0.838709677419355,-111,-77
8481524,"Bowen Byram","BUF","D","L",82,7,31,38,11,94,0.07446,NA,1361.8292,1102.86,1458,-88,66,37,1428,-0.005,-8,-30,0.494,1061,-42,23,17,1042,0.002,0,-19,0.495,0.519,0.115,0.903,7,35,2,"Byram",0,46,0.46341,0,2,20242025,0,1,"BUF",0.0853658536585366,0.378048780487805,0.463414634146341,1.14634146341463,-30,-19
8482671,"Owen Power","BUF","D","L",79,7,33,40,-13,139,0.05035,NA,1278.7088,1019.4,1304,-87,76,71,1368,0.021,75,64,0.511,941,-40,10,52,968,0.019,57,27,0.507,0.514,0.1,0.893,6,34,0,"Power",0,16,0.50632,1,6,20242025,0,0,"BUF",0.0886075949367089,0.417721518987342,0.506329113924051,1.75949367088608,64,27
8479359,"Beck Malenstyn","BUF","L","L",76,4,6,10,-16,67,0.0597,0.55882,631.8552,535.96,631,-81,15,-58,549,-0.037,-16,-82,0.465,442,-59,8,-47,380,-0.035,-11,-62,0.462,0.358,0.07,0.887,4,10,0,"Malenstyn",0,29,0.13157,0,0,20242025,0,0,"BUF",0.0526315789473684,0.0789473684210526,0.131578947368421,0.881578947368421,-82,-62
8477365,"Connor Clifton","BUF","D","R",73,1,15,16,-6,63,0.01587,NA,962.9178,785.83,1006,-84,-9,-82,858,-0.054,-55,-148,0.46,735,-58,-30,-71,605,-0.056,-42,-130,0.451,0.355,0.108,0.894,1,13,0,"Clifton",0,45,0.21917,0,0,20242025,0,3,"BUF",0.0136986301369863,0.205479452054795,0.219178082191781,0.863013698630137,-148,-130
